データ数,比較回数,交換回数,,,,,
10000,64608,84606,,,比較回数,,
20000,139216,179214,,データ数,昇順,降順,ランダム
30000,219504,279502,,10000,64608,69008,120406
40000,298432,378430,,20000,139216,148016,260897
50000,382512,482510,,30000,219504,227728,408568
60000,469008,589006,,40000,298432,316032,561612
70000,555200,695198,,50000,382512,401952,718132
80000,636864,796862,,60000,469008,485456,877082
90000,723680,903678,,70000,555200,573728,1038727
100000,815024,1015022,,80000,636864,672064,1203268
10000,69008,89006,,90000,723680,765248,1369587
20000,148016,188014,,100000,815024,853904,1536598
30000,227728,287726,,,,,
40000,316032,396030,,,交換回数,,
50000,401952,501950,,データ数,昇順,降順,ランダム
60000,485456,605454,,10000,84606,89006,140404
70000,573728,713726,,20000,179214,188014,300895
80000,672064,832062,,30000,279502,287726,468566
90000,765248,945246,,40000,378430,396030,641610
100000,853904,1053902,,50000,482510,501950,818130
10000,120406,140404,,60000,589006,605454,997080
20000,260897,300895,,70000,695198,713726,1178725
30000,408568,468566,,80000,796862,832062,1363266
40000,561612,641610,,90000,903678,945246,1549585
50000,718132,818130,,100000,1015022,1053902,1736596
60000,877082,997080,,,,,
70000,1038727,1178725,,,,,
80000,1203268,1363266,,,,,
90000,1369587,1549585,,,,,
100000,1536598,1736596,,,,,
